Characteristic value was written successfully
Notification handle = 0x0011 value: 8b 1b 52 02 4c fe 32 ff 85 00 76 00 9c fd 49 02 9d 00 ac 02 
Notification handle = 0x0011 value: 91 1b 6c 03 fb fe 90 ff aa ff 04 03 23 00 6b 02 2f 00 a8 02 
Notification handle = 0x0011 value: 97 1b fd 05 9a ff 59 fe d2 ff 9d 02 28 01 7a 02 bf ff 94 02 
Notification handle = 0x0011 value: 9e 1b 35 03 32 ff e8 fe 56 ff b6 ff 7d fe 46 02 9f ff 7f 02 
Notification handle = 0x0011 value: a4 1b 1e 03 2b ff 2d ff a3 ff 73 01 40 00 3a 02 86 ff 75 02 
Notification handle = 0x0011 value: aa 1b fd 03 c3 ff 19 ff c6 ff 95 01 72 ff 3b 02 51 ff 5e 02 
Notification handle = 0x0011 value: b0 1b fe 03 3a ff 70 ff af ff 04 01 66 ff 20 02 0e ff 42 02 
Notification handle = 0x0011 value: b7 1b 9a 03 a1 ff 72 ff 91 ff 58 01 db 00 25 02 eb fe 3c 02 
Notification handle = 0x0011 value: bd 1b 01 04 c5 ff 60 ff d9 ff 00 01 2c 00 32 02 cc fe 1e 02 
Notification handle = 0x0011 value: c3 1b a5 03 5a ff ab ff a1 ff d8 00 23 00 32 02 ab fe 07 02 
Notification handle = 0x0011 value: c9 1b b3 03 84 ff 9d ff 71 ff 42 01 bd 00 29 02 81 fe ef 01 
Notification handle = 0x0011 value: d0 1b ba 03 a0 ff bb ff 42 ff 23 01 20 00 3d 02 48 fe d6 01 
Notification handle = 0x0011 value: d6 1b e2 03 b6 ff c6 ff 81 ff 91 02 44 fe 1a 02 09 fe af 01 
Notification handle = 0x0011 value: dc 1b d5 03 db ff 31 00 12 00 f9 00 61 fe db 01 da fd 79 01 
Notification handle = 0x0011 value: e2 1b d3 03 f7 ff 54 00 dc ff f5 00 fc ff ad 01 cb fd 74 01 
Notification handle = 0x0011 value: e9 1b d7 03 fa ff 39 00 c1 ff 48 00 18 00 aa 01 c7 fd 62 01 
Notification handle = 0x0011 value: ef 1b e7 03 d8 ff 18 00 61 00 bb fe 52 ff a2 01 d6 fd 83 01 
Notification handle = 0x0011 value: f5 1b c6 03 8c 00 ae ff 8d 00 dd fc e9 fe 96 01 e5 fd bc 01 
Notification handle = 0x0011 value: fb 1b 41 04 36 00 ba ff 6f 01 6b fc 86 fd 71 01 1e fe 19 02 
Notification handle = 0x0011 value: 02 1c dd 02 f2 00 95 ff 57 01 f4 fb fb fc 24 01 87 fe 81 02 
Notification handle = 0x0011 value: 08 1c 0c 04 be 00 c7 fe 1c 01 05 fd 46 ff 17 01 0c ff cd 02 
Notification handle = 0x0011 value: 0e 1c 16 04 16 01 9b fe 5e 01 a0 fe d8 01 59 01 7e ff d5 02 
Notification handle = 0x0011 value: 14 1c 0a 05 f3 00 61 fe a0 03 00 00 1e 05 ab 01 02 00 87 02 
Notification handle = 0x0011 value: 1b 1c 10 04 f0 ff f3 fe d5 02 78 ff 16 06 f2 01 77 00 2e 02 
Notification handle = 0x0011 value: 21 1c c6 03 ce ff d9 fe 23 02 a9 ff 45 06 13 02 cb 00 fb 01 
Notification handle = 0x0011 value: 27 1c f1 03 59 ff ec fe 01 02 60 fe a4 09 59 02 24 01 d7 01 
Notification handle = 0x0011 value: 2d 1c 00 02 fb fe e2 fe 77 ff 59 fa 87 04 5c 02 87 01 f5 01 
Notification handle = 0x0011 value: 34 1c 54 02 b3 fd 35 fd 7a ff f5 f6 f2 06 67 02 0d 02 10 02 
Notification handle = 0x0011 value: 3a 1c 02 01 cd fd 4f fe 2e 03 19 fd d4 0b 8f 02 8b 02 f5 01 
Notification handle = 0x0011 value: 40 1c c3 00 0b fd 8d fe 44 02 df fc 2e 08 97 02 fc 02 d9 01 
Notification handle = 0x0011 value: 46 1c 23 00 44 fd 8b fe 67 03 a4 fc 38 08 a4 02 6f 03 bb 01 
Notification handle = 0x0011 value: 4d 1c 3c ff 35 fd f2 fe 6d 03 18 fd cc 06 98 02 d2 03 86 01 
Notification handle = 0x0011 value: 53 1c 76 fe 8d fc 27 ff 8f 02 c9 fd 4c 09 7a 02 2f 04 65 01 
Notification handle = 0x0011 value: 59 1c 81 fc 9d fc 39 00 b3 00 9b fd 14 06 49 02 64 04 55 01 
Notification handle = 0x0011 value: 5f 1c 49 fb eb fd 26 00 93 ff 7e 00 2d 06 0b 02 9d 04 43 01 
Notification handle = 0x0011 value: 66 1c 49 fb 06 fe 8a ff b2 ff 5d 02 91 02 d7 01 ad 04 68 01 
Notification handle = 0x0011 value: 6c 1c 8f fc 7a fe e9 fe ee ff f0 01 5c fb ef 01 8e 04 7f 01 
Notification handle = 0x0011 value: 72 1c 61 fd 7a fd 56 ff 35 fe a9 fe 18 f4 23 02 52 04 85 01 
Notification handle = 0x0011 value: 78 1c ef fe 86 fc 66 ff d8 fa e6 fa 06 e9 a9 02 d7 03 8f 01 
Notification handle = 0x0011 value: 7f 1c b9 ff 21 fd 55 fe 44 fc fb fd 34 ee d3 02 03 03 a3 01 
Notification handle = 0x0011 value: 85 1c d9 00 ec fd f7 fd 8d fc a7 02 da fa c4 02 a6 02 ca 01 
Notification handle = 0x0011 value: 8b 1c 45 02 13 fe db fd bb fc 0d 03 bd fa a6 02 45 02 f2 01 
Notification handle = 0x0011 value: 91 1c cb 02 e2 fe e4 fd c1 fd fb 01 5e f9 7f 02 e8 01 01 02 
Notification handle = 0x0011 value: 98 1c fd 02 0b ff ea fd 18 fc 84 01 7a f8 4c 02 9a 01 18 02 
Notification handle = 0x0011 value: 9e 1c 26 03 a2 ff dd fd ac fb 6c 02 0e f9 ea 01 3a 01 2b 02 
Notification handle = 0x0011 value: a4 1c 98 03 fe 00 cf fd 6f fb ce 02 38 fa 8d 01 ec 00 39 02 
Notification handle = 0x0011 value: aa 1c 82 03 50 01 00 fe af fc 82 03 1d fd 4a 01 a0 00 25 02 
Notification handle = 0x0011 value: b1 1c 71 03 f4 00 5f fe ab ff 94 02 58 fe 3c 01 67 00 18 02 
